Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1983,2,,37,9,Y,,Webster Garrison (minors),SS,-0.2,5.0,9.0,0.0,0.0,0.1,,,,,,,HS,"John Ehret HS (Marrero, LA)",2
1982,2,,30,2,Y,,David Wells (minors),LHP,53.4,86.0,178.0,0.0,0.129,0.289,660.0,239.0,157.0,4.13,1.27,13.0,HS,"Point Loma HS (San Diego, CA)",2
1981,2,,31,5,Y,,Bill Pinkham (minors),C,,,,,,,,,,,,,4Yr,"University of California, San Diego (La Jolla, CA)",2
1980,2,,28,2,Y,,Ken Kinnard (minors),1B,,,,,,,,,,,,,HS,"Claremore HS (Claremore, OK)",2
1979,2,,29,3,Y,,Ron Shepherd (minors),OF,-1.5,115.0,108.0,2.0,0.167,0.481,,,,,,,HS,"Kilgore HS (Kilgore, TX)",2
1978,2,,28,2,Y,,Tim Thompson (minors),1B,,,,,,,,,,,,,HS,"Winter Park HS (Winter Park, FL)",2
1977,2,,51,25,N,,Dave Hodgins (minors),C,,,,,,,,,,,,,HS,"Buchser HS (Santa Clara, CA)",2
2023,3,,89,19,Y,"$1,002,785",Juaron Watts-Brown (minors),P,,,,,,,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",3
2022,3,,98,18,Y,"$497,500",Alan Roden (minors),OF,,,,,,,,,,,,,4Yr,"Creighton University (Omaha, NE)",3
2021,3,,91,20,Y,"$644,800",Ricky Tiedemann (minors),P,,,,,,,,,,,,,JC,"Golden West College (Huntington Beach, CA)",3
2020,3,,77,5,Y,"$847,500",Trent Palmer (minors),P,,,,,,,,,,,,,4Yr,"Jacksonville University (Jacksonville, FL)",3
2019,3,,88,10,Y,"$797,500",Dasan Brown (minors),CF,,,,,,,,,,,,,HS,"Abbey Park HS (Oakville, ON)",3
2018,3,,88,10,Y,"$2,450,000",Adam Kloffenstein (minors),RHP,,,,,,,,,,,,,HS,"Magnolia HS (Magnolia, TX)",3
2017,3,,99,24,Y,"$542,400",Riley Adams (minors),C,1.6,139.0,384.0,11.0,0.224,0.699,,,,,,,4Yr,"University of San Diego (San Diego, CA)",3
2016,3,,102,25,Y,"$275,000",Zach Jackson (minors),RHP,1.6,0.0,0.0,0.0,,,73.0,4.0,4.0,2.86,1.35,4.0,4Yr,"University of Arkansas (Fayetteville, AR)",3
2015,3,,91,16,Y,"$300,000",Justin Maese (minors),RHP,,,,,,,,,,,,,HS,"Ysleta HS (El Paso, TX)",3
2014,3,,83,9,Y,"$661,800",Nick Wells (minors),LHP,,,,,,,,,,,,,HS,"Battlefield HS (Haymarket, VA)",3
2013,3,,83,10,Y,"$500,000",Patrick Murphy (minors),RHP,-0.2,17.0,1.0,0.0,0.0,0.0,35.0,0.0,3.0,4.76,1.64,0.0,HS,"Hamilton HS (Chandler, AZ)",3
2012,3,,112,17,Y,"$750,000",Anthony Alford (minors),CF,-0.1,102.0,220.0,8.0,0.209,0.643,,,,,,,HS,"Petal HS (Petal, MS)",3
2011,3,,108,18,Y,"$500,000",John Stilson (minors),RHP,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",3
2010,3,,93,11,Y,"$350,000",Chris Hawkins (minors),SS,,,,,,,,,,,,,HS,"North Gwinnett HS (Suwanee, GA)",3
2010,3s,,113,31,Y,"$250,000",*Marcus Knecht (minors),LF,,,,,,,,,,,,,JC,"Connors State College (Warner, OK)",3
2009,3,,99,19,N,,Jake Barrett (minors),RHP,0.7,100.0,0.0,0.0,,,105.0,2.0,4.0,4.45,1.39,4.0,HS,"Desert Ridge HS (Mesa, AZ)",3
2009,3,,104,24,Y,"$1,000,000",*Jake Marisnick (minors),CF,12.0,877.0,2053.0,65.0,0.228,0.666,,,,,,,HS,"Riverside Polytechnic HS (Riverside, CA)",3
2008,3,,95,18,Y,"$340,000",Andrew Liebel (minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",3
2007,3,,115,21,Y,"$254,250",Alan Farina (minors),RHP,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",3
2005,3,,86,6,Y,"$440,000",Brian Pettway (minors),OF,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",3
